replicate,arm,initial_quality,terminal_quality,terminal_gain,peak_quality,peak_round,negative_steps
0,raw_replace,0.8698934896284056,0.9380785311725244,0.06818504154411875,0.9380785311725244,10,3
1,raw_replace,0.8698934896284056,0.7565926341107772,-0.11330085551762847,0.8698934896284056,0,4
2,raw_replace,0.8698934896284056,0.8904919235296249,0.020598433901219293,0.9543555411781608,2,4
3,raw_replace,0.8698934896284056,0.980001710409006,0.11010822078060034,0.980001710409006,4,0
4,raw_replace,0.8698934896284056,0.8913380704900397,0.021444580861634033,0.9322476887381035,1,2
5,raw_replace,0.8698934896284056,0.8780425380573722,0.008149048428966577,0.893814248312288,1,5
6,raw_replace,0.8698934896284056,0.797443261571519,-0.07245022805688661,0.8737485393033986,3,3
7,raw_replace,0.8698934896284056,0.8108262459560379,-0.05906724367236771,0.8698934896284056,0,5
8,raw_replace,0.8698934896284056,0.8169730216412768,-0.052920467987128794,0.9725840161901109,3,5
9,raw_replace,0.8698934896284056,0.9878049979672081,0.11791150833880248,0.9935097599082067,4,1
10,raw_replace,0.8698934896284056,0.9161867877764943,0.04629329814808869,0.9642784412058634,3,3
11,raw_replace,0.8698934896284056,0.9151862905236371,0.045292800895231466,0.9483368047133812,6,3
12,raw_replace,0.8698934896284056,0.9543892026912469,0.08449571306284132,0.9543892026912469,8,2
13,raw_replace,0.8698934896284056,0.9090693214961523,0.03917583186774665,0.9406395117472308,4,2
14,raw_replace,0.8698934896284056,0.74734362633918,-0.12254986328922568,0.8729572109297975,4,4
15,raw_replace,0.8698934896284056,0.8533860639580446,-0.01650742567036101,0.9263561125346769,6,3
0,anchored,0.8698934896284056,0.7277197473317107,-0.14217374229669488,0.8827217178316902,1,6
1,anchored,0.8698934896284056,0.7302653304960134,-0.13962815913239224,0.9780704108417699,3,8
2,anchored,0.8698934896284056,0.742350568432804,-0.12754292119560162,0.9333974762321038,2,8
3,anchored,0.8698934896284056,0.747648945465259,-0.12224454416314667,0.9132152228956139,5,6
4,anchored,0.8698934896284056,0.7191402182702602,-0.15075327135814542,0.8698934896284056,0,8
5,anchored,0.8698934896284056,0.8211311855644512,-0.04876230406395443,0.9917479828551483,4,6
6,anchored,0.8698934896284056,0.647493828858574,-0.22239966076983164,0.8773938126975641,2,5
7,anchored,0.8698934896284056,0.6853099471923554,-0.18458354243605024,0.8698934896284056,0,8
8,anchored,0.8698934896284056,0.788638166117224,-0.08125532351118159,0.9596648056833379,4,6
9,anchored,0.8698934896284056,0.7440715916041005,-0.1258218980243051,0.8698934896284056,0,7
10,anchored,0.8698934896284056,0.7940084463349636,-0.07588504329344203,0.9732713663013268,2,5
11,anchored,0.8698934896284056,0.6565791643387999,-0.2133143252896057,0.8698934896284056,0,7
12,anchored,0.8698934896284056,0.6519896627591125,-0.2179038268692931,0.8698934896284056,0,6
13,anchored,0.8698934896284056,0.7652251151885123,-0.1046683744398933,0.9424595461524277,5,5
14,anchored,0.8698934896284056,0.7971754698541987,-0.07271801977420689,0.8877502590498404,2,7
15,anchored,0.8698934896284056,0.7998973877668114,-0.06999610186159422,0.9871086269537991,5,5
0,verified,0.8698934896284056,0.9987417972906971,0.1288483076622915,0.9993708986453486,5,3
1,verified,0.8698934896284056,0.9987417972906971,0.1288483076622915,0.9993708986453486,3,1
2,verified,0.8698934896284056,0.9993708986453486,0.12947740901694293,0.9993708986453486,7,1
3,verified,0.8698934896284056,0.9993708986453486,0.12947740901694293,0.9993708986453486,4,2
4,verified,0.8698934896284056,1.0,0.13010651037159437,1.0,5,1
5,verified,0.8698934896284056,0.9993708986453486,0.12947740901694293,0.9993708986453486,5,1
6,verified,0.8698934896284056,0.9723310955977901,0.10243760596938445,0.9740601562950723,6,1
7,verified,0.8698934896284056,0.9987417972906971,0.1288483076622915,0.9993708986453486,4,1
8,verified,0.8698934896284056,0.9993708986453486,0.12947740901694293,0.9993708986453486,10,0
9,verified,0.8698934896284056,0.9987417972906971,0.1288483076622915,0.9993708986453486,2,1
10,verified,0.8698934896284056,0.9987417972906971,0.1288483076622915,0.9993708986453486,8,2
11,verified,0.8698934896284056,0.9734310549404208,0.10353756531201519,0.9752826599472475,2,4
12,verified,0.8698934896284056,0.9987417972906971,0.1288483076622915,1.0,4,2
13,verified,0.8698934896284056,0.9987417972906971,0.1288483076622915,0.9993708986453486,3,2
14,verified,0.8698934896284056,0.9981126959360456,0.12821920630763994,0.9993708986453486,2,3
15,verified,0.8698934896284056,0.9993708986453486,0.12947740901694293,0.9993708986453486,6,2
0,guided,0.8698934896284056,0.9272869792568113,0.057393489628405625,0.9897869792568113,2,3
1,guided,0.8698934896284056,0.9948934896284056,0.125,0.9948934896284056,10,2
2,guided,0.8698934896284056,0.9480297687759109,0.07813627914750532,0.9909200848488993,3,5
3,guided,0.8698934896284056,0.9115601562950723,0.04166666666666663,0.9897869792568113,3,5
4,guided,0.8698934896284056,0.8856203125901445,0.015726822961738884,0.9768610529076289,1,5
5,guided,0.8698934896284056,0.9948934896284056,0.125,0.9948934896284056,4,2
6,guided,0.8698934896284056,0.9272869792568113,0.057393489628405625,0.960359310126218,1,3
7,guided,0.8698934896284056,0.9272869792568113,0.057393489628405625,0.9610902344426084,3,3
8,guided,0.8698934896284056,0.9272869792568113,0.057393489628405625,0.987233724071014,1,3
9,guided,0.8698934896284056,0.9897869792568113,0.11989348962840563,0.9897869792568113,10,4
10,guided,0.8698934896284056,0.9939209238671998,0.12402743423879414,0.9981126959360456,9,3
11,guided,0.8698934896284056,0.9948934896284056,0.125,0.9948934896284056,10,3
12,guided,0.8698934896284056,0.9948934896284056,0.125,0.9948934896284056,10,3
13,guided,0.8698934896284056,0.9901327401275756,0.12023925049916995,0.9936352869191027,3,2
14,guided,0.8698934896284056,0.9948934896284056,0.125,0.9948934896284056,4,1
15,guided,0.8698934896284056,0.9918389565630629,0.12194546693465724,0.9936352869191026,2,4
