replicate,arm,round,entropy,coverage,unique_fraction,quality,population_fraction
0,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
0,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
0,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
0,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
1,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
1,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
1,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
1,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
2,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
2,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
2,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
2,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
3,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
3,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
3,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
3,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
4,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
4,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
4,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
4,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
5,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
5,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
5,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
5,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
6,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
6,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
6,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
6,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
7,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
7,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
7,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
7,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
8,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
8,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
8,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
8,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
9,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
9,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
9,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
9,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
10,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
10,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
10,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
10,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
11,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
11,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
11,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
11,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
12,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
12,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
12,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
12,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
13,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
13,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
13,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
13,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
14,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
14,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
14,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
14,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
15,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
15,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
15,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
15,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
0,raw_replace,1,0.8342671343453217,1.0,0.7916666666666666,0.8129669005059942,1.0
0,anchored,1,0.8904434356633804,1.0,0.875,0.8827217178316902,1.0
0,verified,1,0.861960164094796,1.0,0.7916666666666666,0.8268134153807314,1.0
0,guided,1,0.964840852554576,1.0,1.0,0.982420426277288,1.0
1,raw_replace,1,0.8009731539669487,1.0,0.7916666666666666,0.7963199103168077,1.0
1,anchored,1,0.9413368895438066,1.0,1.0,0.9706684447719033,1.0
1,verified,1,0.9626257826097717,1.0,1.0,0.9813128913048859,1.0
1,guided,1,0.9310878788207886,0.9375,1.0,0.9655439394103943,1.0
2,raw_replace,1,0.8870847873989303,1.0,1.0,0.9435423936994651,1.0
2,anchored,1,0.8732745894530372,1.0,0.7916666666666666,0.832470628059852,1.0
2,verified,1,0.9022989611771103,1.0,1.0,0.9511494805885552,1.0
2,guided,1,0.9704891940906413,1.0,1.0,0.9852445970453206,1.0
3,raw_replace,1,0.9060744290923812,1.0,0.9583333333333334,0.9322038812128572,1.0
3,anchored,1,0.8953320086393163,1.0,0.7916666666666666,0.8434993376529915,1.0
3,verified,1,0.9258070888196442,1.0,1.0,0.9629035444098222,1.0
3,guided,1,0.9630625171884508,1.0,1.0,0.9815312585942254,1.0
4,raw_replace,1,0.8644953774762071,1.0,1.0,0.9322476887381035,1.0
4,anchored,1,0.8761424713545929,1.0,0.7916666666666666,0.8339045690106297,1.0
4,verified,1,0.9234818978699215,1.0,1.0,0.9617409489349608,1.0
4,guided,1,0.9537221058152578,1.0,1.0,0.9768610529076289,1.0
5,raw_replace,1,0.7876284966245759,1.0,1.0,0.893814248312288,1.0
5,anchored,1,0.8878014584620377,1.0,0.75,0.8189007292310189,1.0
5,verified,1,0.8491104900876667,1.0,1.0,0.9245552450438334,1.0
5,guided,1,0.927480627118253,1.0,1.0,0.9637403135591265,1.0
6,raw_replace,1,0.8009903883245573,1.0,0.8333333333333334,0.8171618608289453,1.0
6,anchored,1,0.8668569515529774,1.0,0.875,0.8709284757764887,1.0
6,verified,1,0.9192638791368477,1.0,1.0,0.9596319395684239,1.0
6,guided,1,0.920718620252436,0.9375,1.0,0.960359310126218,1.0
7,raw_replace,1,0.8193599959344162,1.0,0.875,0.8471799979672081,1.0
7,anchored,1,0.9123933248713088,1.0,0.7916666666666666,0.8520299957689876,1.0
7,verified,1,0.9836770533387635,1.0,1.0,0.9918385266693818,1.0
7,guided,1,0.907287973805352,0.9375,0.9583333333333334,0.9328106535693427,1.0
8,raw_replace,1,0.923206425535533,1.0,1.0,0.9616032127677665,1.0
8,anchored,1,0.8712602748868674,1.0,0.8333333333333334,0.8522968041101004,1.0
8,verified,1,0.9230501877103692,1.0,1.0,0.9615250938551846,1.0
8,guided,1,0.9744674481420279,1.0,1.0,0.987233724071014,1.0
9,raw_replace,1,0.9101385146144698,1.0,1.0,0.9550692573072349,1.0
9,anchored,1,0.8895268690090005,1.0,0.8333333333333334,0.8614301011711669,1.0
9,verified,1,0.9325031791426175,1.0,1.0,0.9662515895713087,1.0
9,guided,1,0.9382974781146828,0.9375,1.0,0.9691487390573414,1.0
10,raw_replace,1,0.9136041194822976,1.0,1.0,0.9568020597411488,1.0
10,anchored,1,0.9528780793896232,1.0,0.9583333333333334,0.9556057063614782,1.0
10,verified,1,0.9151431184633911,1.0,1.0,0.9575715592316956,1.0
10,guided,1,0.9199805501999553,0.9375,1.0,0.9599902750999776,1.0
11,raw_replace,1,0.8936765121450936,1.0,0.9166666666666666,0.90517158940588,1.0
11,anchored,1,0.8713670387067989,1.0,0.75,0.8106835193533994,1.0
11,verified,1,0.8746056319093607,1.0,1.0,0.9373028159546803,1.0
11,guided,1,0.9738647771944245,1.0,1.0,0.9869323885972123,1.0
12,raw_replace,1,0.8818051043628388,1.0,1.0,0.9409025521814194,1.0
12,anchored,1,0.8491104900876666,1.0,0.7916666666666666,0.8203885783771666,1.0
12,verified,1,0.9530960167852816,1.0,1.0,0.9765480083926408,1.0
12,guided,1,0.9681178863206734,1.0,1.0,0.9840589431603367,1.0
13,raw_replace,1,0.807474489463427,0.9375,0.8333333333333334,0.8204039113983802,1.0
13,anchored,1,0.8848626099369334,1.0,0.7916666666666666,0.8382646383018,1.0
13,verified,1,0.9849352560480664,1.0,1.0,0.9924676280240332,1.0
13,guided,1,0.9501437365753589,1.0,1.0,0.9750718682876794,1.0
14,raw_replace,1,0.8308304119401306,1.0,0.875,0.8529152059700653,1.0
14,anchored,1,0.8690720214977816,1.0,0.625,0.7470360107488908,1.0
14,verified,1,0.9857575839660526,1.0,1.0,0.9928787919830263,1.0
14,guided,1,0.9545955749726159,1.0,1.0,0.977297787486308,1.0
15,raw_replace,1,0.7927548151891991,0.9375,0.9166666666666666,0.8547107409279329,1.0
15,anchored,1,0.951280831651965,1.0,1.0,0.9756404158259825,1.0
15,verified,1,0.9366382312882546,1.0,1.0,0.9683191156441273,1.0
15,guided,1,0.9564204586496929,1.0,1.0,0.9782102293248465,1.0
0,raw_replace,2,0.8732933974158424,1.0,0.9583333333333334,0.9158133653745879,1.0
0,anchored,2,0.8962297673308909,1.0,0.7083333333333334,0.8022815503321121,1.0
0,verified,2,0.9422426155399359,1.0,1.0,0.971121307769968,1.0
0,guided,2,0.9795739585136224,1.0,1.0,0.9897869792568113,1.0
1,raw_replace,2,0.7262503764365731,0.875,0.7083333333333334,0.7172918548849532,1.0
1,anchored,2,0.9575335637103579,1.0,0.9166666666666666,0.9371001151885123,1.0
1,verified,2,0.9877073084168844,1.0,1.0,0.9938536542084422,1.0
1,guided,2,0.9644184094480776,1.0,1.0,0.9822092047240387,1.0
2,raw_replace,2,0.9087110823563217,1.0,1.0,0.9543555411781608,1.0
2,anchored,2,0.9084616191308741,1.0,0.9583333333333334,0.9333974762321038,1.0
2,verified,2,0.9793229044918303,1.0,1.0,0.9896614522459152,1.0
2,guided,2,0.9735768734054413,1.0,1.0,0.9867884367027207,1.0
3,raw_replace,2,0.9060744290923812,1.0,0.9583333333333334,0.9322038812128572,1.0
3,anchored,2,0.8912657635813663,1.0,0.8333333333333334,0.8622995484573499,1.0
3,verified,2,0.9402463427781523,1.0,1.0,0.9701231713890761,1.0
3,guided,2,0.9620688001857582,1.0,1.0,0.9810344000928791,1.0
4,raw_replace,2,0.8317630536464814,0.9375,1.0,0.9158815268232408,1.0
4,anchored,2,0.8994234030188449,1.0,0.8333333333333334,0.8663783681760892,1.0
4,verified,2,0.9304197751616327,1.0,1.0,0.9652098875808164,1.0
4,guided,2,0.8640489092043305,0.875,1.0,0.9320244546021652,1.0
5,raw_replace,2,0.7732297697948305,1.0,0.9565217391304348,0.8648757544626327,0.9583333333333334
5,anchored,2,0.944163457528131,1.0,0.9166666666666666,0.9304150620973988,1.0
5,verified,2,0.9750387220382221,1.0,1.0,0.9875193610191111,1.0
5,guided,2,0.9716271489546097,1.0,1.0,0.9858135744773049,1.0
6,raw_replace,2,0.8170112464594591,1.0,0.9166666666666666,0.8668389565630629,1.0
6,anchored,2,0.8797876253951282,1.0,0.875,0.8773938126975641,1.0
6,verified,2,0.941806740748619,0.9375,1.0,0.9709033703743095,1.0
6,guided,2,0.8545739585136224,0.875,1.0,0.9272869792568113,1.0
7,raw_replace,2,0.8193599959344162,1.0,0.875,0.8471799979672081,1.0
7,anchored,2,0.9273598190038317,1.0,0.625,0.7761799095019158,1.0
7,verified,2,0.9962253918720912,1.0,1.0,0.9981126959360456,1.0
7,guided,2,0.8545739585136224,0.875,1.0,0.9272869792568113,1.0
8,raw_replace,2,0.9279697262470077,1.0,1.0,0.9639848631235038,1.0
8,anchored,2,0.9544127677694244,1.0,0.9166666666666666,0.9355397172180455,1.0
8,verified,2,0.9781489596480328,1.0,1.0,0.9890744798240164,1.0
8,guided,2,0.8545739585136224,0.875,1.0,0.9272869792568113,1.0
9,raw_replace,2,0.9142444999844546,1.0,1.0,0.9571222499922273,1.0
9,anchored,2,0.8944225495021291,1.0,0.75,0.8222112747510646,1.0
9,verified,2,0.9987417972906971,1.0,1.0,0.9993708986453486,1.0
9,guided,2,0.8805138022185501,0.9375,1.0,0.9402569011092751,1.0
10,raw_replace,2,0.9136041194822976,1.0,1.0,0.9568020597411488,1.0
10,anchored,2,0.9465427326026538,1.0,1.0,0.9732713663013268,1.0
10,verified,2,0.9649753918720912,1.0,1.0,0.9824876959360456,1.0
10,guided,2,0.9715437508764664,1.0,1.0,0.9857718754382332,1.0
11,raw_replace,2,0.8917527796120551,1.0,1.0,0.9458763898060276,1.0
11,anchored,2,0.8716692339679628,1.0,0.8333333333333334,0.852501283650648,1.0
11,verified,2,0.9505653198944951,1.0,1.0,0.9752826599472475,1.0
11,guided,2,0.9568177524346128,1.0,1.0,0.9784088762173064,1.0
12,raw_replace,2,0.8534160715306481,0.9375,0.9166666666666666,0.8850413690986574,1.0
12,anchored,2,0.8611629854983885,1.0,0.625,0.7430814927491942,1.0
12,verified,2,0.9913736686633465,1.0,1.0,0.9956868343316733,1.0
12,guided,2,0.9872705738382053,1.0,1.0,0.9936352869191026,1.0
13,raw_replace,2,0.8804672539075982,0.9375,1.0,0.9402336269537991,1.0
13,anchored,2,0.90613426864529,1.0,0.7916666666666666,0.8489004676559784,1.0
13,verified,2,0.9974835945813941,1.0,1.0,0.9987417972906971,1.0
13,guided,2,0.9602904648196331,1.0,1.0,0.9801452324098165,1.0
14,raw_replace,2,0.8271481694251435,1.0,0.875,0.8510740847125717,1.0
14,anchored,2,0.9005005180996808,1.0,0.875,0.8877502590498404,1.0
14,verified,2,0.9987417972906971,1.0,1.0,0.9993708986453486,1.0
14,guided,2,0.980905860757308,1.0,1.0,0.990452930378654,1.0
15,raw_replace,2,0.7927548151891991,0.9375,0.9166666666666666,0.8547107409279329,1.0
15,anchored,2,0.958068847626723,1.0,0.9166666666666666,0.9373677571466947,1.0
15,verified,2,0.987525361001055,1.0,1.0,0.9937626805005275,1.0
15,guided,2,0.9872705738382053,1.0,1.0,0.9936352869191026,1.0
0,raw_replace,3,0.8297146635123128,1.0,0.9166666666666666,0.8731906650894897,1.0
0,anchored,3,0.9010960815300915,1.0,0.625,0.7630480407650457,1.0
0,verified,3,0.9913736686633465,1.0,1.0,0.9956868343316733,1.0
0,guided,3,0.9181510735944582,0.9375,1.0,0.9590755367972291,1.0
1,raw_replace,3,0.7447483919797677,0.875,0.7083333333333334,0.7265408626565506,1.0
1,anchored,3,0.9561408216835399,1.0,1.0,0.9780704108417699,1.0
1,verified,3,0.9987417972906971,1.0,1.0,0.9993708986453486,1.0
1,guided,3,0.97045234432345,1.0,1.0,0.985226172161725,1.0
2,raw_replace,3,0.9087110823563217,1.0,1.0,0.9543555411781608,1.0
2,anchored,3,0.9412246090030267,1.0,0.875,0.9081123045015134,1.0
2,verified,3,0.9962253918720911,1.0,1.0,0.9981126959360456,1.0
2,guided,3,0.9818401696977984,1.0,1.0,0.9909200848488993,1.0
3,raw_replace,3,0.9060744290923812,1.0,0.9583333333333334,0.9322038812128572,1.0
3,anchored,3,0.8910872669794673,1.0,0.8333333333333334,0.8622103001564003,1.0
3,verified,3,0.9937089864534854,1.0,1.0,0.9968544932267427,1.0
3,guided,3,0.9795739585136224,1.0,1.0,0.9897869792568113,1.0
4,raw_replace,3,0.8317630536464814,0.9375,1.0,0.9158815268232408,1.0
4,anchored,3,0.9060286117904115,1.0,0.8333333333333334,0.8696809725618724,1.0
4,verified,3,0.977713084856716,1.0,1.0,0.988856542428358,1.0
4,guided,3,0.8624373699944918,0.9375,1.0,0.9312186849972459,1.0
5,raw_replace,3,0.7684274589085576,1.0,0.875,0.8217137294542788,1.0
5,anchored,3,0.9824188506294607,1.0,0.9583333333333334,0.9703760919813971,1.0
5,verified,3,0.9974835945813941,1.0,1.0,0.9987417972906971,1.0
5,guided,3,0.9834222661759138,1.0,1.0,0.9917111330879569,1.0
6,raw_replace,3,0.8308304119401305,0.9375,0.9166666666666666,0.8737485393033986,1.0
6,anchored,3,0.898338372974039,1.0,0.7083333333333334,0.8033358531536862,1.0
6,verified,3,0.9468621098808416,0.9375,1.0,0.9734310549404208,1.0
6,guided,3,0.8545739585136224,0.875,1.0,0.9272869792568113,1.0
7,raw_replace,3,0.8193599959344162,1.0,0.875,0.8471799979672081,1.0
7,anchored,3,0.9130948446748736,1.0,0.5416666666666666,0.7273807556707701,1.0
7,verified,3,0.9962253918720912,1.0,1.0,0.9981126959360456,1.0
7,guided,3,0.9221804688852169,0.9375,1.0,0.9610902344426084,1.0
8,raw_replace,3,0.9451680323802218,1.0,1.0,0.9725840161901109,1.0
8,anchored,3,0.9319684554953391,1.0,0.9166666666666666,0.9243175610810028,1.0
8,verified,3,0.9877073084168844,1.0,1.0,0.9938536542084422,1.0
8,guided,3,0.8231203125901445,0.8125,1.0,0.9115601562950723,1.0
9,raw_replace,3,0.9670085144010662,1.0,1.0,0.983504257200533,1.0
9,anchored,3,0.8996635991912387,1.0,0.625,0.7623317995956194,1.0
9,verified,3,0.9987417972906971,1.0,1.0,0.9993708986453486,1.0
9,guided,3,0.8647869792568113,0.875,1.0,0.9323934896284056,1.0
10,raw_replace,3,0.9285568824117267,1.0,1.0,0.9642784412058634,1.0
10,anchored,3,0.9217869605819395,1.0,1.0,0.9608934802909698,1.0
10,verified,3,0.9926318713726495,1.0,1.0,0.9963159356863247,1.0
10,guided,3,0.9715437508764664,1.0,1.0,0.9857718754382332,1.0
11,raw_replace,3,0.8650695419172446,1.0,0.9583333333333334,0.911701437625289,1.0
